Provinsi,Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Buah-Buahan Per Kabupaten/kota (Satuan Komoditas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BUAH-BUAHAN,,,"Jeruk, jeruk bali",,,Mangga,,,Apel,,,Rambutan,,,"Duku, langsat",,,Durian,,,Salak,,,Pisang ambon,,,Pisang lainnya,,,Pepaya,,,Semangka,,,Tomat buah,,,Alpokat,,,Jambu biji,,,Buah-buahan lainnya,,
,,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023
Sumatera Utara,Karo,-,-,-,0.128,0.136,0.123,0.01,0.012,0.018,0.048,0.031,0.026,0.005,0.002,0.008,0.007,0.007,0.064,0.004,-,0.023,0.06,0.061,0.066,0.017,0.039,0.023,0.094,0.101,0.079,0.042,0.041,0.04,0.07,0.078,0.027,0.021,0.002,0.012,-,0.031,0.017,-,0.009,0.008,0.071,0.031,0.049
Sumatera Utara,Deli Serdang,-,-,-,0.174,0.179,0.183,0.012,0.017,0.009,0.019,0.02,0.015,0.001,0.001,0.002,-,0.009,0.037,0.004,0.001,0.009,0.033,0.055,0.046,0.004,0.012,0.006,0.131,0.114,0.119,0.095,0.08,0.091,0.094,0.126,0.061,0.006,0.006,0.008,-,0.028,0.012,-,0.016,0.007,0.066,0.033,0.032
Sumatera Utara,Langkat,-,-,-,0.134,0.189,0.154,0.005,0.002,0.009,0.014,0.011,0.016,0.001,0.004,0.001,0.005,0.016,0.047,-,0.015,0.013,0.036,0.056,0.051,0.005,0.012,0.01,0.077,0.115,0.071,0.053,0.079,0.047,0.07,0.096,0.067,0.001,0.004,0.002,-,0.013,0.012,-,0.009,0.005,0.051,0.048,0.03
Sumatera Utara,Nias Selatan,-,-,-,0.008,0.008,0.006,-,-,-,0.005,0.001,-,-,-,-,0.001,0.006,-,-,-,-,0.004,0.002,0.002,0.026,0.028,0.047,0.148,0.245,0.172,0.035,0.046,0.062,0.006,0.005,0.004,0.002,0.002,0.001,-,0.004,0.003,-,0.001,0.005,0.002,0.001,0.002
Sumatera Utara,Humbang Hasundutan,-,-,-,0.171,0.142,0.142,0.001,0.001,0.001,0.017,0.018,0.013,-,0.004,0.005,0.001,0.001,0.014,0.002,0.001,0.001,0.071,0.096,0.072,0.029,0.016,0.022,0.169,0.142,0.16,0.036,0.034,0.026,0.018,0.006,0.014,0.223,0.176,0.159,-,0.006,0.014,-,0.004,0.004,0.051,0.024,0.028
Sumatera Utara,Pakpak Bharat,-,-,-,0.068,0.091,0.089,0.001,0.007,0.001,0.013,0.014,0.014,-,0.005,0.001,0.001,0.002,0.046,0.007,0.003,0.011,0.059,0.076,0.067,0.016,0.034,0.026,0.147,0.159,0.148,0.069,0.084,0.036,0.009,0.025,0.017,0.158,0.103,0.137,-,0.043,0.044,-,0.031,0.013,0.048,0.047,0.035
Sumatera Utara,Samosir,-,-,-,0.15,0.14,0.143,0.006,0.003,0.007,0.012,0.012,0.015,0.001,-,0.008,0.001,-,0.007,0.022,0.075,0.267,0.038,0.033,0.039,0.028,0.017,0.057,0.194,0.243,0.207,0.062,0.05,0.055,0.007,0.014,0.008,0.021,0.065,0.023,-,0.072,0.027,-,0.016,0.012,0.064,0.041,0.028
Sumatera Utara,Serdang Bedagai,-,-,-,0.189,0.195,0.184,0.009,0.012,0.004,0.016,0.017,0.016,0.001,-,0.002,-,0.002,0.019,-,-,0.003,0.038,0.046,0.041,0.001,0.002,0.002,0.092,0.092,0.067,0.033,0.034,0.031,0.127,0.253,0.089,0.087,0.061,0.063,-,0.014,0.008,-,0.006,0.004,0.048,0.045,0.038
Sumatera Utara,Batu Bara,-,-,-,0.138,0.185,0.174,0.009,0.008,0.002,0.015,0.012,0.012,-,-,0.001,0.001,0.001,0.02,0.006,0.001,0.003,0.038,0.04,0.041,0.002,0.008,0.002,0.076,0.073,0.056,0.019,0.028,0.021,0.04,0.049,0.027,0.115,0.109,0.087,-,0.012,0.01,-,0.003,0.005,0.03,0.044,0.027
Sumatera Utara,Padang Lawas Utara,-,-,-,0.113,0.143,0.09,0.005,0.003,0.004,0.008,0.021,0.012,0.001,0.006,0.004,0.006,0.017,0.02,0.017,-,0.004,0.11,0.144,0.119,0.006,0.015,0.011,0.056,0.051,0.04,0.022,0.025,0.013,0.018,0.095,0.056,0.069,0.087,0.061,-,0.011,-,-,-,0.001,0.02,0.016,0.01
Sumatera Utara,Padang Lawas,-,-,-,0.107,0.101,0.099,0.006,0.016,0.01,0.015,0.016,0.007,-,0.008,0.002,0.008,0.015,0.026,0.013,0.001,0.001,0.102,0.127,0.124,0.008,0.017,0.007,0.059,0.066,0.052,0.021,0.056,0.037,0.032,0.141,0.06,0.025,0.044,0.031,-,0.015,0.012,-,0.002,0.003,0.021,0.011,0.01
