Province,Regency/City,Year,"Orange, pomelo",Mango,Apple,Rambutan,"Duku, langsat",Durian,Snakefruit,Ambon banana,Papaya,Watermelon,Tomato,Avocado,Guava
DKI Jakarta,Kota Jakarta Barat,2021,130.0,14.0,36.0,6.0,38.0,11.0,23.0,77.0,129.0,31.0,11.0,,
DKI Jakarta,Kota Jakarta Utara,2021,122.0,10.0,32.0,8.0,30.0,5.0,33.0,80.0,128.0,40.0,11.0,,
Jawa Barat,Bogor,2021,116.0,10.0,18.0,30.0,15.0,5.0,31.0,57.0,73.0,22.0,4.0,,
Jawa Barat,Sukabumi,2021,114.0,11.0,21.0,45.0,12.0,1.0,18.0,81.0,84.0,26.0,3.0,,
Jawa Barat,Cianjur,2021,78.0,9.0,24.0,94.0,9.0,5.0,18.0,85.0,84.0,20.0,4.0,,
Jawa Barat,Bandung,2021,88.0,4.0,21.0,105.0,16.0,1.0,20.0,106.0,67.0,22.0,4.0,,
Jawa Barat,Garut,2021,73.0,2.0,11.0,57.0,5.0,2.0,13.0,57.0,41.0,7.0,11.0,,
Jawa Barat,Tasikmalaya,2021,79.0,8.0,22.0,42.0,12.0,1.0,19.0,41.0,85.0,16.0,1.0,,
Jawa Barat,Ciamis,2021,97.0,2.0,17.0,26.0,31.0,2.0,30.0,58.0,111.0,23.0,5.0,,
Jawa Barat,Kuningan,2021,84.0,1.0,18.0,24.0,13.0,4.0,28.0,90.0,85.0,9.0,4.0,,
Jawa Barat,Cirebon,2021,74.0,1.0,10.0,19.0,17.0,2.0,33.0,82.0,43.0,13.0,1.0,,
Jawa Barat,Majalengka,2021,92.0,3.0,13.0,60.0,14.0,8.0,39.0,67.0,72.0,16.0,3.0,,
Jawa Barat,Sumedang,2021,88.0,5.0,19.0,76.0,20.0,1.0,18.0,75.0,74.0,14.0,6.0,,
Jawa Barat,Indramayu,2021,118.0,15.0,25.0,90.0,28.0,6.0,89.0,58.0,73.0,14.0,3.0,,
Jawa Barat,Subang,2021,106.0,6.0,20.0,94.0,28.0,3.0,33.0,86.0,63.0,47.0,2.0,,
Jawa Barat,Purwakarta,2021,109.0,7.0,27.0,73.0,21.0,8.0,28.0,39.0,58.0,27.0,1.0,,
Jawa Barat,Karawang,2021,119.0,23.0,27.0,50.0,23.0,3.0,28.0,32.0,76.0,29.0,5.0,,
Jawa Barat,Bekasi,2021,110.0,11.0,22.0,9.0,12.0,1.0,24.0,60.0,78.0,23.0,2.0,,
Jawa Barat,Bandung Barat,2021,96.0,2.0,15.0,150.0,13.0,,9.0,79.0,71.0,18.0,2.0,,
Jawa Barat,Pangandaran,2021,101.0,7.0,34.0,31.0,18.0,2.0,51.0,31.0,83.0,34.0,1.0,,
Jawa Barat,Kota Bogor,2021,109.0,7.0,31.0,14.0,15.0,6.0,22.0,91.0,96.0,43.0,8.0,,
Jawa Barat,Kota Sukabumi,2021,117.0,10.0,26.0,32.0,10.0,1.0,17.0,101.0,105.0,29.0,6.0,,
Jawa Barat,Kota Bandung,2021,107.0,8.0,31.0,40.0,9.0,1.0,16.0,140.0,110.0,36.0,8.0,,
Jawa Barat,Kota Cirebon,2021,74.0,3.0,23.0,16.0,3.0,1.0,29.0,121.0,98.0,13.0,7.0,,
Jawa Barat,Kota Bekasi,2021,123.0,11.0,33.0,7.0,22.0,10.0,22.0,100.0,146.0,39.0,5.0,,
Jawa Barat,Kota Depok,2021,127.0,7.0,36.0,5.0,21.0,1.0,42.0,76.0,116.0,38.0,12.0,,
Jawa Barat,Kota Cimahi,2021,100.0,2.0,30.0,45.0,10.0,4.0,9.0,144.0,67.0,22.0,6.0,,
Jawa Barat,Kota Tasikmalaya,2021,134.0,6.0,32.0,65.0,35.0,5.0,23.0,75.0,105.0,31.0,5.0,,
Jawa Barat,Kota Banjar,2021,132.0,3.0,27.0,80.0,28.0,,33.0,83.0,160.0,29.0,2.0,,
Jawa Tengah,Cilacap,2021,70.0,2.0,20.0,25.0,11.0,2.0,36.0,36.0,46.0,33.0,2.0,,
Jawa Tengah,Banyumas,2021,87.0,1.0,18.0,31.0,47.0,5.0,35.0,88.0,74.0,27.0,2.0,,
Jawa Tengah,Purbalingga,2021,67.0,3.0,16.0,22.0,98.0,,29.0,65.0,58.0,17.0,2.0,,
Jawa Tengah,Banjarnegara,2021,84.0,1.0,18.0,23.0,34.0,9.0,57.0,74.0,63.0,40.0,1.0,,
Jawa Tengah,Kebumen,2021,95.0,2.0,28.0,16.0,12.0,,28.0,57.0,91.0,43.0,1.0,,
Jawa Tengah,Purworejo,2021,86.0,1.0,19.0,38.0,23.0,3.0,14.0,66.0,85.0,12.0,1.0,,
Jawa Tengah,Wonosobo,2021,78.0,1.0,15.0,55.0,11.0,12.0,38.0,57.0,57.0,24.0,2.0,,
Jawa Tengah,Magelang,2021,70.0,3.0,16.0,56.0,8.0,4.0,29.0,36.0,91.0,18.0,2.0,,
Jawa Tengah,Boyolali,2021,67.0,1.0,20.0,53.0,7.0,6.0,14.0,61.0,61.0,14.0,1.0,,
Jawa Tengah,Klaten,2021,74.0,,44.0,26.0,10.0,1.0,16.0,82.0,90.0,29.0,4.0,,
Jawa Tengah,Sukoharjo,2021,71.0,2.0,19.0,38.0,7.0,,14.0,116.0,103.0,23.0,5.0,,
Jawa Tengah,Wonogiri,2021,59.0,,18.0,22.0,5.0,1.0,16.0,52.0,81.0,8.0,3.0,,
Jawa Tengah,Karanganyar,2021,60.0,1.0,19.0,37.0,2.0,7.0,14.0,89.0,104.0,12.0,2.0,,
Jawa Tengah,Sragen,2021,97.0,,23.0,39.0,4.0,,29.0,82.0,130.0,35.0,2.0,,
Jawa Tengah,Grobogan,2021,69.0,,16.0,39.0,3.0,1.0,29.0,20.0,62.0,17.0,,,
Jawa Tengah,Blora,2021,56.0,,32.0,59.0,9.0,,28.0,24.0,59.0,34.0,,,
Jawa Tengah,Rembang,2021,68.0,1.0,29.0,36.0,19.0,7.0,44.0,9.0,24.0,54.0,3.0,,
Jawa Tengah,Pati,2021,107.0,4.0,20.0,51.0,28.0,2.0,40.0,20.0,58.0,55.0,1.0,,
Jawa Tengah,Kudus,2021,73.0,,24.0,32.0,16.0,2.0,33.0,11.0,37.0,24.0,2.0,,
